ProcessorCount:         4
ClockSpeed:             0 MHZ
Actor Count:            8
Messages sent/received: 30000000  (3e7)
Is Server GC:           True

ActorBase    first start time: 12.37 ms
ReceiveActor first start time: 27.94 ms

            ActorBase                          ReceiveActor
Throughput, Msgs/sec, Start [ms], Total [ms],  Msgs/sec, Start [ms], Total [ms]
         1,  5480000,      15.28,    5490.50,   5468000,      38.47,    5529.25
         5, 13856000,      28.09,    2194.45,  13882000,       5.11,    2167.95
        10, 17064000,      44.51,    1804.13,  17123000,      19.37,    1772.62
        15, 17103000,       6.25,    1761.74,  16750000,       5.13,    1797.59
        20, 16825000,       5.56,    1789.56,  18495000,       5.62,    1628.40
        30, 18832000,       5.56,    1599.43,  19267000,      15.56,    1573.82
        40, 20174000,       5.21,    1492.88,  19430000,       5.50,    1550.64
        50, 18575000,       6.46,    1622.12,  18484000,       5.40,    1629.37
        60, 19071000,       4.85,    1578.81,  18761000,       4.82,    1604.30
        70, 19430000,       5.06,    1550.12,  19218000,       4.72,    1566.27
        80, 18891000,       4.86,    1594.22,  19685000,       5.34,    1530.78
        90, 18903000,       5.00,    1593.46,  18633000,      10.98,    1622.13
       100, 19880000,       7.88,    1518.37,  17835000,       5.45,    1687.96
       200, 20066000,       4.85,    1500.71,  19206000,       4.95,    1568.23
       300, 18203000,       5.51,    1654.35,  18050000,       5.87,    1669.24
       400, 20491000,       4.85,    1470.22,  17804000,       4.94,    1691.15
       500, 19697000,       7.85,    1531.58,  18668000,       4.50,    1612.55
       600, 19960000,       5.10,    1509.02,  18072000,       5.33,    1666.44
       700, 18939000,       5.22,    1590.01,  18126000,       4.46,    1660.62
       800, 18808000,       4.76,    1600.28,  19430000,       4.25,    1548.88
       900, 18891000,       5.15,    1593.79,  18621000,      16.18,    1628.20
Done..
