ProcessorCount:         4
ClockSpeed:             0 MHZ
Actor Count:            8
Messages sent/received: 30000000  (3e7)
Is Server GC:           True

ActorBase    first start time:  7.15 ms
ReceiveActor first start time: 21.39 ms

            ActorBase                          ReceiveActor
Throughput, Msgs/sec, Start [ms], Total [ms],  Msgs/sec, Start [ms], Total [ms]
         1,  5735000,      13.52,    5246.18,   5899000,      25.84,    5115.70
         5, 14814000,      19.32,    2046.42,  14450000,      13.15,    2091.64
        10, 19467000,      10.03,    1553.45,  17921000,      55.99,    1731.86
        15, 20283000,       4.37,    1484.60,  21037000,       9.45,    1436.82
        20, 23942000,       4.68,    1258.89,  20491000,      12.68,    1477.82
        30, 24291000,       4.87,    1241.30,  21723000,      12.47,    1394.80
        40, 25104000,       3.70,    1200.52,  22573000,      26.13,    1356.19
        50, 25531000,       4.34,    1180.37,  21613000,      18.59,    1407.84
        60, 22900000,       3.78,    1315.11,  21567000,      14.79,    1407.49
        70, 23076000,       4.49,    1305.58,  21723000,      10.45,    1393.19
        80, 22779000,       3.57,    1322.21,  20862000,      14.12,    1453.04
        90, 20632000,       3.70,    1459.15,  21111000,      10.86,    1433.06
       100, 21945000,       3.68,    1371.87,  21171000,      24.32,    1442.52
       200, 22421000,       3.77,    1342.68,  21978000,      18.16,    1384.67
       300, 21443000,       3.84,    1404.36,  21567000,       5.07,    1396.93
       400, 22692000,       3.26,    1326.80,  21865000,      24.10,    1396.91
       500, 22761000,       3.63,    1322.50,  22075000,       5.38,    1365.63
       600, 22255000,       3.89,    1353.33,  21961000,       5.14,    1372.24
       700, 21306000,       5.85,    1415.02,  21398000,       4.59,    1408.83
       800, 22058000,       4.49,    1365.81,  21156000,       9.87,    1429.05
       900, 21645000,       3.80,    1390.96,  20120000,       4.95,    1496.77
Done..
