PrimitiveSerializers                   => 01 - 49

ProtobufDataSerializer                 => 50 - 59

PersistenceMessageSerializer           => 60 - 69

SystemMessageSerializer                => 100 - 199

MiscMessageSerializer                  => 200 - 299

ClusterShardingMessageSerializer       => 300 - 399

ClusterClientMessageSerializer         => 400 - 439

ClusterSingletonMessageSerializer      => 440 - 469

DistributedPubSubMessageSerializer     => 470 - 499

ClusterMessageSerializer               => 500 - 599
